Date,AveragePrice,Small Hass,Large Hass,XL Hass,Small Bags,Large Bags,XLarge Bags,Type,Year,Region
12/7/2015,1.14,310080.33,37953.24,867.46,46023.59,12280.26,0,conventional,2015,Atlanta
5/7/2015,1.01,436377.91,54675.38,848.55,50684.74,19851,24.75,conventional,2015,Atlanta
28/06/2015,1.13,331353.43,37698.53,816.56,52099.76,13108.03,134.4,conventional,2015,Atlanta
21/06/2015,0.99,449311.47,30231.78,678.4,55484.76,19010.81,46.54,conventional,2015,Atlanta
14/06/2015,1.1,386370.5,17701.12,471.72,48612.13,12578.28,71.03,conventional,2015,Atlanta
7/6/2015,0.99,455565.92,22414.17,738.68,50954.84,21329.99,5.45,conventional,2015,Atlanta
31/05/2015,1.1,382900.99,19543.18,522.81,40505.16,11199.95,29.91,conventional,2015,Atlanta
24/05/2015,0.96,538126.94,27284.43,1260.8,33867,22651.15,21.72,conventional,2015,Atlanta
17/05/2015,1.11,386400.89,18618.84,838.68,33710.2,11682.09,0,conventional,2015,Atlanta
10/5/2015,1.1,413452.96,18860.63,1089.33,34108.44,12559.82,0,conventional,2015,Atlanta
3/5/2015,1,538403.48,28568.26,1059.73,32520.82,33660.81,0,conventional,2015,Atlanta
26/04/2015,1.12,387676.81,18366.33,1041.78,31315.29,10196.55,0,conventional,2015,Atlanta
19/04/2015,1.12,368709.65,18040.85,873.24,29661.72,13680.88,0,conventional,2015,Atlanta
12/4/2015,0.99,377578.48,22419.95,219.14,25833.07,25051.25,0,conventional,2015,Atlanta
5/4/2015,1.04,318473.47,19254.39,374.51,28612.48,16289.92,134.72,conventional,2015,Atlanta
29/03/2015,1.11,305028.89,16651.99,261.01,29313.92,14466.33,0,conventional,2015,Atlanta
22/03/2015,1,393591.03,23419.6,304.89,40495.12,21766.54,13.44,conventional,2015,Atlanta
15/03/2015,1.12,336172.08,16508.21,310.7,34911.7,11625.94,37.59,conventional,2015,Atlanta
8/3/2015,1.1,361559.22,15788.71,236.97,33847.33,9394.09,0,conventional,2015,Atlanta
1/3/2015,0.99,441544,21183.7,347.78,32180.9,17273.38,2.68,conventional,2015,Atlanta
22/02/2015,1.1,369316.29,18324.76,237.47,33423.74,10006.3,0,conventional,2015,Atlanta
15/02/2015,1.06,364446.77,17420.41,638.18,26727.66,18158.26,0,conventional,2015,Atlanta
8/2/2015,1.03,377256.38,17162.5,524.85,18044.41,20895.77,0,conventional,2015,Atlanta
1/2/2015,0.96,553198.56,31583.38,294.94,10553.73,41140.76,0,conventional,2015,Atlanta
25/01/2015,1.1,393408.17,18718.27,594.25,13176.39,23435.77,0,conventional,2015,Atlanta
18/01/2015,1.11,372236.92,18701.9,511.69,16782.71,23257.77,0,conventional,2015,Atlanta
11/1/2015,1.11,330411.24,18958.22,1135.18,21309.61,25728.47,0,conventional,2015,Atlanta
4/1/2015,1,364302.39,23821.16,82.15,16707.15,30108.64,0,conventional,2015,Atlanta
27/12/2015,1.17,40450.49,394104.02,17353.79,142543.88,2367.22,0,conventional,2015,BaltimoreWashington
20/12/2015,1.11,44741.37,434590.82,19112.14,141751.91,2486.16,0,conventional,2015,BaltimoreWashington
13/12/2015,1.15,44400.26,399851.59,24291.2,149070.4,1895.88,0,conventional,2015,BaltimoreWashington
6/12/2015,1.04,51129.29,453586.5,25760.49,117112.77,1552.2,0,conventional,2015,BaltimoreWashington
29/11/2015,1.16,41028.15,379156.09,20147.53,103615.95,1852.33,0,conventional,2015,BaltimoreWashington
22/11/2015,1.12,40867.8,386137.78,23343.49,119007.61,2663.12,0,conventional,2015,BaltimoreWashington
15/11/2015,1.04,47109.75,503470.08,37990.29,125297.67,4462.69,0,conventional,2015,BaltimoreWashington
8/11/2015,1.05,58579.27,576512.71,51035.04,138777.63,6062.58,0,conventional,2015,BaltimoreWashington
1/11/2015,1.12,51860.07,473819.14,58615.76,152716.4,5209.3,0,conventional,2015,BaltimoreWashington
25/10/2015,1.19,53766.25,397911.35,49085.74,149987.55,6141.14,0,conventional,2015,BaltimoreWashington
18/10/2015,0.99,59121.55,745385.26,49171.33,146421.02,5504.62,0,conventional,2015,BaltimoreWashington
11/10/2015,1.24,34707.02,392008.6,58490.1,163669.01,4685.41,0,conventional,2015,BaltimoreWashington
4/10/2015,1.28,35342.34,407609.95,42257.73,167494.61,4739.41,0,conventional,2015,BaltimoreWashington
27/09/2015,1.19,34309.05,451061.03,59018.61,146792.81,5100.31,0,conventional,2015,BaltimoreWashington
20/09/2015,1.17,39619.87,450283.01,45336.12,168889.78,5139.84,0,conventional,2015,BaltimoreWashington
13/09/2015,1.09,55699.25,675524.33,42270.47,145686.02,5813.54,0,conventional,2015,BaltimoreWashington
6/9/2015,1.18,63903.73,522568.44,68180.35,165696.58,3268.72,5.54,conventional,2015,BaltimoreWashington
30/08/2015,1.24,48455.25,458207.46,42754.34,181968.79,3158.9,176.55,conventional,2015,BaltimoreWashington
23/08/2015,1.16,59242.02,499100.39,47216.18,175047.15,3060.44,269.18,conventional,2015,BaltimoreWashington
16/08/2015,1.14,86492.03,597184.73,43102.61,153156.63,2796.82,21.9,conventional,2015,BaltimoreWashington
9/8/2015,1.16,56362.75,557363.94,42933.87,161564.81,3298.08,0,conventional,2015,BaltimoreWashington
2/8/2015,1.17,53957.63,535167.1,44749.58,163667.68,3061.24,0,conventional,2015,BaltimoreWashington
26/07/2015,1.2,52746.41,496508.65,45010.81,174774.8,3880.04,5.41,conventional,2015,BaltimoreWashington
19/07/2015,1.18,52954.94,496206.47,50319.84,196837.6,3862.02,13.47,conventional,2015,BaltimoreWashington
12/7/2015,1.1,58827.99,547537.41,50679.01,189236.32,4406.05,244.8,conventional,2015,BaltimoreWashington
5/7/2015,1.16,66504.67,567640.7,56044.51,200097.99,5890.57,120.33,conventional,2015,BaltimoreWashington
28/06/2015,1.15,65051.95,534535.21,51109.85,207378.09,4022.51,164.03,conventional,2015,BaltimoreWashington
21/06/2015,1.16,58398.76,527866.5,51952.74,220904.35,3488.37,230.01,conventional,2015,BaltimoreWashington
14/06/2015,1.09,64005.15,593499.63,48344.86,244982.26,3668.3,546.62,conventional,2015,BaltimoreWashington
7/6/2015,1.26,62585.45,462951.05,43720.95,221165.85,3626.41,260.58,conventional,2015,BaltimoreWashington
31/05/2015,1.19,67744.84,617813.87,45832.8,211787.29,5730.22,268.04,conventional,2015,BaltimoreWashington
24/05/2015,1.18,63610.12,560740.03,49808.51,228842.95,5548.94,111.28,conventional,2015,BaltimoreWashington
17/05/2015,1.27,63515.06,455166.65,44840.98,222163.1,5152.19,15.88,conventional,2015,BaltimoreWashington
10/5/2015,1.26,79192.07,507104.15,44390.54,215572.03,8947.03,0,conventional,2015,BaltimoreWashington
3/5/2015,1.17,73038.46,536709.99,77537.43,201874.28,7767.45,44.44,conventional,2015,BaltimoreWashington
26/04/2015,1.29,58013.85,431532.87,39942.57,212064.73,6184.29,102.78,conventional,2015,BaltimoreWashington
19/04/2015,1.28,67486.78,427623.27,42125.28,219885.88,5741.41,0,conventional,2015,BaltimoreWashington
12/4/2015,1.15,70796.72,523170.13,42270.76,196076.34,5315.67,0,conventional,2015,BaltimoreWashington
5/4/2015,1.29,53579.17,401279.47,41867.08,184109.06,6357.06,873.61,conventional,2015,BaltimoreWashington
29/03/2015,1.25,58098.15,398050.87,43759.68,158964.08,4804.54,0,conventional,2015,BaltimoreWashington
22/03/2015,1.1,65158.96,524971.24,42381.39,171699.95,4685.67,0,conventional,2015,BaltimoreWashington
15/03/2015,1.24,53400.14,395837.01,46596.22,193130.9,4733.86,0,conventional,2015,BaltimoreWashington
8/3/2015,1.26,55284.8,367670.93,42267.91,188374.49,4147.77,0,conventional,2015,BaltimoreWashington
1/3/2015,1.16,59039.85,498872.67,40241.65,168224.2,3736.87,0,conventional,2015,BaltimoreWashington
22/02/2015,1.11,50501.07,445970.56,62611.61,186976.97,3785.58,0,conventional,2015,BaltimoreWashington
15/02/2015,1.25,49751.74,361677.37,45900.05,174864.87,5125.31,0,conventional,2015,BaltimoreWashington
8/2/2015,1.09,71703.52,554857.41,37437.32,175771.39,5161.57,0,conventional,2015,BaltimoreWashington
1/2/2015,1.06,93166.54,666010.38,83652.48,159916.87,4672.49,0,conventional,2015,BaltimoreWashington
25/01/2015,1.2,49696.14,386398.73,39488.95,209761.81,7588.83,0,conventional,2015,BaltimoreWashington
18/01/2015,1.23,49947.16,393359.6,40576.08,169390.88,4467.62,0,conventional,2015,BaltimoreWashington
11/1/2015,1.17,51460.64,420837.82,42526.96,151330.87,4075.65,0,conventional,2015,BaltimoreWashington
4/1/2015,1.08,53987.31,552906.04,39995.03,137146.07,3990.61,0,conventional,2015,BaltimoreWashington
27/12/2015,0.97,30482.25,2971.94,5894.4,23520.19,5.69,35.22,conventional,2015,Boise
20/12/2015,1.03,25628.22,2546.09,7393.84,21900.35,11.43,24.12,conventional,2015,Boise
13/12/2015,0.99,27148.61,2985.73,6458.44,21842.87,4.44,20.96,conventional,2015,Boise
6/12/2015,0.71,35590.98,12526.5,4086.26,42734.53,0,357.07,conventional,2015,Boise
29/11/2015,1.06,24189.98,2789.67,6031.49,15860.63,0,197.36,conventional,2015,Boise
22/11/2015,1.09,25408.86,3255.97,6662.8,17530.67,4.32,12.96,conventional,2015,Boise
15/11/2015,1.01,24424.72,12085.72,6502.37,25200.25,8.65,426.51,conventional,2015,Boise
8/11/2015,1.11,31910.27,4651.88,6285.73,12777.83,119.79,102.29,conventional,2015,Boise
1/11/2015,1.14,30434.99,4359.52,6428.27,12331.82,0,30.91,conventional,2015,Boise
25/10/2015,1.11,29521.58,10089.82,6551.57,13660.98,0,50.5,conventional,2015,Boise
18/10/2015,1.16,29614.23,9069.38,6586.27,8918,0,3.26,conventional,2015,Boise
11/10/2015,0.94,26114.19,33415.88,7604.48,13543.47,185.46,40.71,conventional,2015,Boise
4/10/2015,1.12,35154.43,10821.85,7551.63,5462.15,504.65,1.62,conventional,2015,Boise
27/09/2015,0.99,47007.35,5754.04,3663.3,7596.64,160,6.47,conventional,2015,Boise
20/09/2015,1.03,34826.9,21592.13,6640.07,10601.02,273.41,19.37,conventional,2015,Boise
13/09/2015,1.08,45738.83,4393.9,6593.46,7482.65,0,0,conventional,2015,Boise
6/9/2015,1.16,44134.65,5402.17,7991.75,6934.43,0,1.61,conventional,2015,Boise
30/08/2015,1.19,40926.77,5809.92,7922.58,5440.56,0,0,conventional,2015,Boise
23/08/2015,1.05,44059.22,14861.33,4433.12,7420.09,0,0,conventional,2015,Boise
16/08/2015,1.12,46189.28,5258.21,6457.21,6090.51,0,6.4,conventional,2015,Boise
9/8/2015,1.1,44739.54,5034,3931.19,7568.92,13.33,0,conventional,2015,Boise
2/8/2015,1.07,51151.27,5140.89,5435.36,5987.5,48.89,0,conventional,2015,Boise
26/07/2015,1.07,50978.38,4856.27,5479.57,6358.04,153.81,0,conventional,2015,Boise
19/07/2015,1.09,45921.6,5300.3,5565.17,6354.45,816.52,0,conventional,2015,Boise
12/7/2015,1.05,51828.75,5802.65,7474.4,8335.04,1236.88,0,conventional,2015,Boise
5/7/2015,1.15,61949.73,8022.13,8434.98,6557.06,80.55,0,conventional,2015,Boise
28/06/2015,1.04,59111.33,6573.26,3974.75,5619.44,0,1.63,conventional,2015,Boise
21/06/2015,1.06,52790.21,15444.74,5875.85,7021.56,0,264.71,conventional,2015,Boise
14/06/2015,0.99,58791.25,17880.43,3135.99,7800.04,0,0,conventional,2015,Boise
7/6/2015,1.12,61245.49,7237.55,6655.69,5603.8,8.76,0,conventional,2015,Boise
31/05/2015,0.97,57373.57,7421.36,4028.3,7860.31,5.84,0,conventional,2015,Boise
24/05/2015,1.03,54825.95,14839.33,6037.23,7469.51,0,37.75,conventional,2015,Boise
17/05/2015,0.96,61319.66,7393.99,2919.87,6345.82,0,8.19,conventional,2015,Boise
10/5/2015,1.06,62505.3,15896.54,7891.16,9453.06,0,42.47,conventional,2015,Boise
3/5/2015,1,66880.12,7942.34,4289.72,6349.93,0,4.88,conventional,2015,Boise
26/04/2015,0.96,69544.59,7985.48,3401.65,7174.6,0,4.85,conventional,2015,Boise
19/04/2015,0.99,56843.62,21630.9,3260.22,7953.8,0,6.42,conventional,2015,Boise
12/4/2015,1.19,44469.15,8506.36,7523.01,5747.78,0,0,conventional,2015,Boise
5/4/2015,1.09,57339.81,9060.49,3790.38,6510.61,0,3.17,conventional,2015,Boise
29/03/2015,0.98,59532.94,7119.52,3101.98,4789.54,0,0,conventional,2015,Boise
22/03/2015,1.17,44227.33,6589.77,7290.24,3311.77,0,0,conventional,2015,Boise
15/03/2015,1,51472.29,7018.29,2981.8,4445.9,0,0,conventional,2015,Boise
8/3/2015,1.14,45879.84,7206.22,7403.75,4860.43,0,0,conventional,2015,Boise
1/3/2015,1.06,40578,23738.56,3491.83,6478.75,759.23,0,conventional,2015,Boise
22/02/2015,0.99,50872,16374.74,2122.09,7235.2,232.07,0,conventional,2015,Boise
15/02/2015,1.14,41547.87,7840.31,6492.94,3647.52,1693.34,0,conventional,2015,Boise
8/2/2015,1.07,54229.34,9647.24,3047,1373.42,1673.75,0,conventional,2015,Boise
1/2/2015,0.91,67496.3,36532.33,2904.77,4867.26,1777.58,0,conventional,2015,Boise
25/01/2015,1.03,51922.06,7555.95,2061.16,2009.53,2520.51,0,conventional,2015,Boise
18/01/2015,1.08,50354.95,6342.37,2257.23,1119.18,2796.76,0,conventional,2015,Boise
11/1/2015,1.18,38112.34,10997.54,3321.89,3295.11,1628.64,0,conventional,2015,Boise
4/1/2015,1.01,44562.12,24964.23,2752.35,6064.3,1691.32,0,conventional,2015,Boise
27/12/2015,1.13,3886.27,346964.7,13952.56,85913.6,99.26,0,conventional,2015,Boston
20/12/2015,1.07,4912.37,390100.99,5887.72,88768.47,133.33,0,conventional,2015,Boston
13/12/2015,1.01,4641.02,455362.38,219.4,89523.38,199.58,0,conventional,2015,Boston
6/12/2015,1.02,5126.32,407520.22,142.99,75666.22,223.56,0,conventional,2015,Boston
29/11/2015,1.19,3609.25,272719.08,105.86,73864.52,261.1,0,conventional,2015,Boston
22/11/2015,1.07,4457.62,383420.46,233.74,78161.82,486.35,0,conventional,2015,Boston
15/11/2015,1.05,5310.32,420936.8,139.71,85604.19,1747.96,0,conventional,2015,Boston
8/11/2015,1.04,5304.09,542880.92,231.74,88265.25,5077.57,0,conventional,2015,Boston
1/11/2015,1.06,4886.14,449532.49,170.29,93443.08,5064.84,0,conventional,2015,Boston
25/10/2015,1.02,4005.39,430725.78,191.31,94581.94,4745.05,0,conventional,2015,Boston
18/10/2015,0.94,6409.86,627503.98,332.87,86046.25,5003.33,0,conventional,2015,Boston
11/10/2015,1.14,5145.86,378295.9,355.03,97513.23,4396.66,0,conventional,2015,Boston
4/10/2015,1.07,5804.31,427358.64,277.56,97207.43,5831.48,0,conventional,2015,Boston
27/09/2015,1.07,5210.84,463079.81,289.49,82123.56,2603.34,0,conventional,2015,Boston
20/09/2015,1.15,4376.74,398673.48,418.46,91612.66,3558.89,0,conventional,2015,Boston
13/09/2015,1.03,5422.29,560792.23,353.77,84843.55,4271.11,0,conventional,2015,Boston
6/9/2015,1.11,4237.44,477867.83,496.62,94558.41,614.44,0,conventional,2015,Boston
30/08/2015,1.13,4177.03,438502.9,554.04,83242.01,188.89,0,conventional,2015,Boston
23/08/2015,1.07,4744.11,488292.1,608.61,95585.38,241.12,0,conventional,2015,Boston
16/08/2015,1.15,4460.85,464476.33,748.65,95887.01,222.22,0,conventional,2015,Boston
9/8/2015,1.07,4173.23,590998.11,827.06,94287.69,231.1,0,conventional,2015,Boston
2/8/2015,1.17,4442.2,468591.76,1451.95,97214.15,294.44,0,conventional,2015,Boston
26/07/2015,1.28,4299.27,393281.62,1957.86,100466.86,228.08,0,conventional,2015,Boston
19/07/2015,1.18,4720.08,477629.8,5071.77,109519,227.47,0,conventional,2015,Boston
12/7/2015,1.14,5332.07,471639.53,9361.55,146946.54,1236.05,0,conventional,2015,Boston
5/7/2015,1.27,4743.46,418251.03,11053.82,145982.99,2878.43,0,conventional,2015,Boston
28/06/2015,1.25,4688.28,403230.6,9120.3,142574.63,881.11,0,conventional,2015,Boston
21/06/2015,1.24,3582.45,404908.53,8899.2,125821.15,293.33,0,conventional,2015,Boston
14/06/2015,1.08,5104.19,521254.77,6545.42,151258.77,183.33,0,conventional,2015,Boston
7/6/2015,1.25,4034.11,421007.42,93.05,137224.94,183.34,0,conventional,2015,Boston
31/05/2015,1.26,4128.35,418105.36,108.6,142515.32,303.32,0,conventional,2015,Boston
24/05/2015,1.14,4601.66,490485.76,276.82,137769.31,388.43,0,conventional,2015,Boston
17/05/2015,1.26,4285.68,380514.08,162.66,147667.72,1858.4,0,conventional,2015,Boston
10/5/2015,1.14,4601.5,476827.52,131.47,141309.43,2688.22,0,conventional,2015,Boston
3/5/2015,1.17,3828.64,429586.28,239.76,115148.87,3565.39,0,conventional,2015,Boston
26/04/2015,1.28,3915.3,352464.49,131.46,106866.42,2533.7,0,conventional,2015,Boston
19/04/2015,1.15,4013.71,384880.49,162.91,114562.17,1000.55,0,conventional,2015,Boston
12/4/2015,1.26,3575.89,294164.23,106.09,108644.33,1994.62,0,conventional,2015,Boston
5/4/2015,1.27,3657.54,330424.74,99.92,113541.34,1948.64,145.83,conventional,2015,Boston
29/03/2015,1.19,3619.31,339299.3,151.36,108838.11,1723.17,0,conventional,2015,Boston
22/03/2015,1.18,5956.18,344396.92,155.94,102204.17,460.01,0,conventional,2015,Boston
15/03/2015,1.25,6085.75,308996.7,111.59,101931.87,624.45,0,conventional,2015,Boston
8/3/2015,1.17,3425.53,290512.65,78.96,113811.26,575.56,0,conventional,2015,Boston
1/3/2015,1.11,4106.42,383573.77,192.98,97423.17,439.76,0,conventional,2015,Boston
22/02/2015,1.23,3232.68,251341.3,142.33,100498.19,217.78,0,conventional,2015,Boston
15/02/2015,1.2,3794.97,281106.45,143.41,114283.61,555.55,0,conventional,2015,Boston
8/2/2015,1.04,7653.19,495731.7,383.73,105403.38,813.34,0,conventional,2015,Boston
1/2/2015,1.22,6082.88,373452.06,272.81,109900.93,313.46,0,conventional,2015,Boston
25/01/2015,1.17,4730.77,288094.65,45.98,115538.05,934.11,0,conventional,2015,Boston
18/01/2015,1.23,4383.76,287778.52,132.53,108668.74,367.78,0,conventional,2015,Boston
11/1/2015,1.1,5548.11,320577.36,121.81,111192.88,331.73,0,conventional,2015,Boston
4/1/2015,1.02,7193.87,396752.18,128.82,87406.84,256.29,0,conventional,2015,Boston
27/12/2015,1.35,1367.81,39542.83,85.76,55236.68,0,0,conventional,2015,BuffaloRochester
20/12/2015,1.37,1164.92,38430.71,106.67,51165.21,0,0,conventional,2015,BuffaloRochester
13/12/2015,1.35,1421.12,40783.22,66.45,56202.44,0,0,conventional,2015,BuffaloRochester
6/12/2015,1.23,1737.71,58197.34,167.12,48355.65,0,0,conventional,2015,BuffaloRochester
29/11/2015,1.39,1514.69,35682.71,113.49,42662.25,0,0,conventional,2015,BuffaloRochester
22/11/2015,1.4,1711.77,38780.66,107.53,49642.35,0,0,conventional,2015,BuffaloRochester
15/11/2015,1.36,1803.78,41457.12,107.48,55593.12,742.22,0,conventional,2015,BuffaloRochester
8/11/2015,1.3,1288.83,49507.25,55,58885.65,1302.22,0,conventional,2015,BuffaloRochester
1/11/2015,1.23,2181.17,61874.92,186.4,52956.4,1342.22,0,conventional,2015,BuffaloRochester
25/10/2015,1.36,1545.57,36645.91,79.64,59381.21,1902.22,0,conventional,2015,BuffaloRochester
18/10/2015,1.29,1536.35,40701.65,58.28,62627.47,1160,0,conventional,2015,BuffaloRochester
11/10/2015,1.3,2170.49,50862,96.18,54829.61,1195.56,0,conventional,2015,BuffaloRochester
4/10/2015,1.33,3020.03,38353.35,101.43,56141.23,1284.44,0,conventional,2015,BuffaloRochester
27/09/2015,1.31,1908.16,60292.79,106.47,27767.19,671.11,0,conventional,2015,BuffaloRochester
20/09/2015,1.54,1445.25,39831.66,88.61,18437.84,821.11,0,conventional,2015,BuffaloRochester
13/09/2015,1.59,1572.71,48468.73,134.33,22421.87,445.56,0,conventional,2015,BuffaloRochester
6/9/2015,1.56,1471.69,49388.48,173.32,25092.76,13.33,0,conventional,2015,BuffaloRochester
30/08/2015,1.38,1406.11,61600.62,241.67,20483.02,0,0,conventional,2015,BuffaloRochester
23/08/2015,1.49,1287.09,43655.31,170.47,23840.42,0,0,conventional,2015,BuffaloRochester
